"Anno","Provincia","Euro","AL","BE","BG","BM","EL","GA","GG","IB","IG","ME","ND","Totale"
"2020","BOLZANO","EURO 6","2","70.919","2.323","1.016","0","151.615","0","4.050","1.266","2.648","0","233.839"
"2020","BOLZANO","NC","0","0","0","0","2.306","0","0","0","0","0","0","2.306"
"2020","BOLZANO","ND","0","51","0","0","0","0","0","0","0","0","2","53"
"2020","Totale Provincia","","17","175.962","7.376","1.876","2.306","269.897","0","4.430","1.298","2.897","9","466.068"
"2020","TRENTO","EURO 0","7","13.205","835","51","0","2.259","0","0","0","3","7","16.367"
"2020","TRENTO","EURO 1","0","3.631","213","21","0","721","0","0","0","1","0","4.587"
"2020","TRENTO","EURO 2","0","12.122","437","49","0","4.912","0","0","0","1","0","17.521"
"2020","TRENTO","EURO 3","0","14.316","462","60","0","19.396","0","0","0","5","0","34.239"
"2020","TRENTO","EURO 4","0","44.309","5.696","834","0","42.989","0","54","0","151","2","94.035"
"2020","TRENTO","EURO 5","0","23.294","2.644","602","0","52.632","0","456","27","255","0","79.910"
"2020","TRENTO","EURO 6","0","113.578","11.991","2.996","0","299.251","0","8.961","788","2.498","0","440.063"
"2020","TRENTO","NC","0","0","0","0","10.115","0","0","0","0","0","0","10.115"
"2020","TRENTO","ND","0","57","1","2","0","4","0","0","0","0","1","65"
"2020","Totale Provincia","","7","224.512","22.279","4.615","10.115","422.164","0","9.471","815","2.914","10","696.902"
"2020","VERONA","EURO 0","9","28.821","2.950","911","0","4.731","0","0","0","12","18","37.452"
"2020","VERONA","EURO 1","0","7.691","689","354","0","1.691","0","0","0","1","0","10.426"
"2020","VERONA","EURO 2","0","25.815","1.561","930","0","10.171","0","0","0","10","0","38.487"
"2020","VERONA","EURO 3","0","24.747","1.535","1.145","0","32.576","0","0","0","99","2","60.104"
"2020","VERONA","EURO 4","1","65.355","19.755","8.988","0","63.462","0","152","0","1.879","0","159.592"
"2020","VERONA","EURO 5","1","31.820","10.135","6.971","0","74.554","0","986","51","1.889","0","126.407"
"2020","VERONA","EURO 6","1","63.893","16.621","5.824","0","89.236","0","9.112","1.068","3.839","0","189.594"
"2020","VERONA","NC","0","0","0","0","907","0","0","0","0","0","0","907"
"2020","VERONA","ND","0","261","8","0","0","5","0","0","0","0","3","277"
"2020","Totale Provincia","","12","248.403","53.254","25.123","907","276.426","0","10.250","1.119","7.729","23","623.246"
"2020","VICENZA","EURO 0","9","27.641","2.464","270","0","3.891","0","0","0","3","1","34.279"
"2020","VICENZA","EURO 1","0","8.198","621","90","0","1.424","0","0","0","1","0","10.334"
"2020","VICENZA","EURO 2","0","28.819","1.568","290","0","10.063","0","0","0","5","0","40.745"
"2020","VICENZA","EURO 3","0","26.479","1.256","335","0","34.658","0","0","0","25","1","62.754"
"2020","VICENZA","EURO 4","0","67.534","15.107","3.216","0","68.409","0","159","0","550","0","154.975"
"2020","VICENZA","EURO 5","0","33.065","7.257","2.753","0","73.118","0","1.098","56","675","0","118.022"
"2020","VICENZA","EURO 6","0","59.828","10.696","2.345","0","76.729","0","10.908","1.049","1.387","0","162.942"
"2020","VICENZA","NC","0","0","0","0","918","0","0","0","0","0","0","918"
"2020","VICENZA","ND","0","144","7","0","0","4","0","0","0","0","1","156"
"2020","Totale Provincia","","9","251.708","38.976","9.299","918","268.296","0","12.165","1.105","2.646","3","585.125"
"2020","BELLUNO","EURO 0","1","6.066","282","24","0","827","0","0","0","2","0","7.202"
"2020","BELLUNO","EURO 1","0","1.724","58","3","0","322","0","0","0","0","0","2.107"
"2020","BELLUNO","EURO 2","0","5.783","159","20","0","2.192","0","0","0","3","0","8.157"
"2020","BELLUNO","EURO 3","0","6.239","136","27","0","7.861","0","0","0","7","0","14.270"
"2020","BELLUNO","EURO 4","1","16.072","2.083","191","0","17.872","0","15","0","36","0","36.270"
"2020","BELLUNO","EURO 5","1","8.886","891","141","0","19.154","0","135","11","40","0","29.259"
"2020","BELLUNO","EURO 6","0","15.238","1.135","140","0","21.059","0","1.639","169","94","0","39.474"
"2020","BELLUNO","NC","0","0","0","0","90","0","0","0","0","0","0","90"
"2020","BELLUNO","ND","0","23","0","0","0","2","0","0","0","0","0","25"
"2020","Totale Provincia","","3","60.031","4.744","546","90","69.289","0","1.789","180","182","0","136.854"
"2020","TREVISO","EURO 0","9","26.663","2.258","295","0","4.485","0","0","0","13","10","33.733"
"2020","TREVISO","EURO 1","0","7.865","543","109","0","1.768","0","0","0","3","0","10.288"
"2020","TREVISO","EURO 2","0","27.978","1.378","352","0","10.224","0","0","0","8","0","39.940"
"2020","TREVISO","EURO 3","0","26.590","1.395","402","0","34.342","0","0","0","33","0","62.762"
"2020","TREVISO","EURO 4","1","69.259","15.555","2.842","0","67.273","0","143","0","482","1","155.556"
"2020","TREVISO","EURO 5","1","35.760","7.781","1.681","0","75.732","0","914","50","687","0","122.606"
"2020","TREVISO","EURO 6","0","65.740","11.458","1.897","0","84.021","0","8.737","1.010","1.211","0","174.074"
"2020","TREVISO","NC","0","0","0","0","832","0","0","0","0","0","0","832"
"2020","TREVISO","ND","0","144","5","2","0","1","0","0","0","0","0","152"
"2020","Totale Provincia","","11","259.999","40.373","7.580","832","277.846","0","9.794","1.060","2.437","11","599.943"
"2020","VENEZIA","EURO 0","2","17.845","2.097","240","0","2.979","0","0","0","20","9","23.192"
"2020","VENEZIA","EURO 1","1","5.048","452","74","0","937","0","0","0","2","0","6.514"
"2020","VENEZIA","EURO 2","0","21.032","1.448","243","0","5.489","0","0","0","9","0","28.221"
"2020","VENEZIA","EURO 3","0","22.390","1.456","346","0","22.720","0","0","0","20","0","46.932"
"2020","VENEZIA","EURO 4","0","62.706","17.127","3.371","0","46.063","0","128","0","432","1","129.828"
"2020","VENEZIA","EURO 5","3","29.382","8.403","2.311","0","56.325","0","685","36","560","0","97.705"
"2020","VENEZIA","EURO 6","0","54.426","12.751","2.004","0","67.155","0","6.669","769","1.048","0","144.822"
"2020","VENEZIA","NC","0","0","0","0","488","0","0","0","0","0","0","488"
"2020","VENEZIA","ND","0","146","4","0","0","1","0","0","0","0","0","151"
"2020","Totale Provincia","","6","212.975","43.738","8.589","488","201.669","0","7.482","805","2.091","10","477.853"
"2020","PADOVA","EURO 0","4","27.235","3.196","672","0","3.789","0","0","0","10","11","34.917"
"2020","PADOVA","EURO 1","1","7.496","761","224","0","1.328","0","0","0","3","0","9.813"
"2020","PADOVA","EURO 2","1","28.080","2.154","682","0","8.177","0","0","0","9","1","39.104"
"2020","PADOVA","EURO 3","0","27.000","2.026","846","0","30.165","0","0","0","47","0","60.084"
"2020","PADOVA","EURO 4","2","70.009","21.859","5.791","0","58.260","0","183","0","924","0","157.028"
"2020","PADOVA","EURO 5","3","35.269","12.211","4.317","0","70.564","0","984","58","1.016","0","124.422"
"2020","PADOVA","EURO 6","0","66.220","18.450","3.917","0","85.908","0","10.187","1.035","2.143","0","187.860"
"2020","PADOVA","NC","0","0","0","0","835","0","0","0","0","0","0","835"
